"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-2.247958328E-3,-1.899100800E0,-9.240284729E-1,9.175918579E-2,2.113961261E0
7.726041717E-3,-1.719474335E0,-3.444337463E-1,2.393522644E-1,1.769891550E0
1.769904164E-2,-1.299896851E0,2.724334717E-1,2.380050659E-1,1.349295457E0
2.767304168E-2,-9.265731812E-1,6.954537964E-1,2.095642090E-2,1.158720421E0
3.764704172E-2,-5.424719238E-1,9.702822876E-1,-8.910969543E-1,1.424702526E0
4.762104165E-2,-2.577639771E-1,1.238823853E0,-2.767894135E0,3.043413338E0
5.759404169E-2,-4.150868225E-1,1.424288177E0,-4.257895660E0,4.508943262E0
6.756804173E-2,-7.716453552E-1,1.375190277E0,-3.146157532E0,3.519217536E0
7.754204166E-2,-3.405418396E-1,9.190887451E-1,-5.556445312E-1,1.126691489E0
8.751504170E-2,4.438270569E-1,5.912704468E-2,1.300345917E0,1.375273779E0
9.748904174E-2,2.652484131E-1,-8.116122437E-1,1.102756805E0,1.394684096E0
1.074630417E-1,4.161346436E-2,-1.115779724E0,-8.681945801E-2,1.119925753E0
1.174370417E-1,2.463876343E-1,-1.055754547E0,-9.298663330E-1,1.428277259E0
1.274100418E-1,2.549198914E-1,-1.020128632E0,-2.160157928E0,2.402483892E0
1.373840417E-1,4.737648010E-1,-8.990304565E-1,-3.276536407E0,3.430510119E0
1.473580417E-1,9.759704590E-1,-4.673281860E-1,-3.052901459E0,3.239000044E0
1.573310416E-1,1.293011169E0,-5.987548828E-4,-2.149979095E0,2.508842034E0
1.673050417E-1,1.295256500E0,2.305206299E-1,-1.720671844E0,2.165996482E0
1.772790417E-1,8.806187439E-1,2.634521484E-2,-1.483864288E0,1.725698893E0
1.872530417E-1,1.975891113E-2,-7.096742249E-1,-1.041983185E0,1.260855613E0
1.972260417E-1,-1.102008362E0,-1.558109894E0,-6.301895142E-2,1.909476436E0
2.072000417E-1,-1.710493011E0,-1.690584412E0,1.179397430E0,2.678589236E0
2.171740417E-1,-6.897656250E-1,-2.812201996E0,2.393522644E0,3.756754894E0
2.271470417E-1,1.342707825E0,-4.041146393E0,4.526137848E0,6.214471199E0
2.371210417E-1,2.954406281E0,-4.650229797E0,5.297783203E0,7.643275509E0
2.470950417E-1,5.336253204E0,-5.500312042E0,1.833537140E0,7.879777235E0
2.570690417E-1,1.118069962E1,-1.157138718E1,-1.513592468E1,2.209075058E1
2.670420416E-1,9.511520691E0,-1.768302795E1,2.517764282E0,2.023604804E1
2.770160417E-1,2.358046417E0,-2.332299957E1,1.722063950E1,2.908733602E1
2.869900417E-1,4.368964691E0,-3.495605850E1,8.110883331E0,3.614969304E1
2.969630416E-1,1.016102005E1,-4.212450165E1,-1.486394028E1,4.581109787E1
3.069370417E-1,7.647447052E0,-3.748879166E1,-2.066422852E1,4.348451778E1
3.169110417E-1,3.746109924E0,-3.700350082E1,-1.136077515E1,3.888906819E1
3.268850417E-1,3.984713745E0,-3.791600327E1,-1.325403809E1,4.036298766E1
3.368580417E-1,2.943029938E0,-3.435835144E1,-1.393003235E1,3.719144445E1
3.468320417E-1,3.994443512E0,-3.007051804E1,-7.389982452E0,3.122184291E1
3.568060417E-1,5.974376221E0,-2.553494980E1,-2.154769135E0,2.631292197E1
3.667790417E-1,6.191724243E0,-2.166789139E1,-5.774990845E-1,2.254259239E1
3.767530416E-1,5.287604370E0,-1.844075226E1,-6.843768311E-1,1.919605364E1
3.867270417E-1,4.583169250E0,-1.520987091E1,-7.637118530E-1,1.590373759E1
3.967010417E-1,3.951482849E0,-1.242625946E1,-7.719447327E-1,1.306223716E1
4.066740416E-1,3.090024261E0,-9.943971405E0,-1.317859497E0,1.049607407E1
4.166480417E-1,1.861379242E0,-7.677384796E0,-1.699416046E0,8.080531226E0
4.266220417E-1,1.716929626E-1,-6.316265259E0,-1.200503540E0,6.431632300E0
4.365950417E-1,-1.507814484E0,-5.945486298E0,-2.106120300E-1,6.137317758E0
4.465690417E-1,-2.203268280E0,-5.544320526E0,4.080514526E-1,5.979998930E0
4.565430417E-1,-1.903292084E0,-4.530179443E0,-1.689985657E-1,4.916666255E0
4.665170417E-1,-9.946815491E-1,-3.166066132E0,-7.827223206E-1,3.409695055E0
4.764900417E-1,-5.057981873E-1,-2.129771118E0,-8.068222046E-1,2.332963543E0
4.864640418E-1,-9.265731812E-2,-1.091230774E0,-8.601113892E-1,1.392537821E0
4.964380417E-1,4.938230896E-1,-1.055305481E-1,-1.138233032E0,1.245219810E0
5.064110417E-1,1.286724243E0,6.596781921E-1,-1.802102509E0,2.310499523E0
5.163850416E-1,2.042203217E0,1.334474945E0,-3.162922668E0,3.994433272E0
5.263590417E-1,2.482587433E0,1.855391693E0,-4.644391937E0,5.583555781E0
5.363330417E-1,1.887574768E0,1.948348389E0,-5.516777802E0,6.147669254E0
5.463063751E-1,7.616162109E-1,1.540446625E0,-4.975952454E0,5.264326916E0
5.562803750E-1,5.598358154E-2,3.580554199E-1,-2.531086578E0,2.556899903E0
5.662543750E-1,-1.228794708E0,-1.307081909E0,5.812413025E-1,1.885799831E0
5.762273751E-1,-2.226619720E0,-2.411335602E0,2.387235718E0,4.058481137E0
5.862013750E-1,-2.531685333E0,-2.684966583E0,2.681523743E0,4.561693300E0
5.961753750E-1,-1.773961029E0,-2.243983612E0,1.799557800E0,3.379468665E0
6.061493750E-1,-7.536827087E-1,-1.518292694E0,1.010398865E0,1.973361649E0
6.161223750E-1,-4.626878357E-1,-6.424639893E-1,-1.655557251E-1,8.088564205E-1
6.260963751E-1,-5.457650757E-1,3.442840576E-3,-2.258353729E0,2.323366725E0
6.360703750E-1,-2.233355713E-1,4.766088867E-1,-3.511847076E0,3.551070922E0
6.460433750E-1,7.625143433E-1,8.396040344E-1,-2.027234344E0,2.322938257E0
6.560173751E-1,1.463806000E0,1.238374786E0,-1.309776306E-1,1.921836428E0
6.659913750E-1,1.637145538E0,1.727108459E0,7.176077271E-1,2.485580414E0
6.759653750E-1,1.436263275E0,1.981579285E0,-4.558021545E-1,2.489430509E0
6.859383751E-1,1.049766998E0,8.405021667E-1,-1.963017883E0,2.379473440E0
6.959123750E-1,4.912783813E-1,-1.350042572E0,-3.543581085E0,3.823733294E0
7.058863750E-1,4.357438660E-1,-3.637585602E0,-4.049229584E0,5.460600878E0
7.158593751E-1,1.630409546E0,-6.055657196E0,-1.635648651E0,6.481092954E0
