"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.480708364E-3,9.746232605E-1,-8.802744598E0,-3.881877594E0,9.669910890E0
8.492291556E-3,6.864724731E-1,-1.081725540E1,-3.451672211E0,1.137533735E1
1.846529159E-2,6.099815369E-1,-1.299836975E1,-1.933828583E0,1.315558386E1
2.843729162E-2,-5.987548828E-3,-1.342513229E1,-1.755249939E0,1.353939125E1
3.841029166E-2,-5.921685791E-1,-1.264211060E1,-2.848426666E0,1.297255404E1
4.838229157E-2,-1.579665070E0,-1.415785858E1,-1.220412140E0,1.429789170E1
5.835529161E-2,-1.483415222E0,-1.584395233E1,-9.345066833E-1,1.594066024E1
6.832729164E-2,-1.317410431E0,-1.620335495E1,-3.276686096E-1,1.626012450E1
7.830029156E-2,-1.022373962E0,-1.557166855E1,7.514373779E-1,1.562327648E1
8.827329159E-2,3.297642517E-1,-1.478729965E1,1.428629150E0,1.485981012E1
9.824529162E-2,2.148033142E0,-1.462204330E1,9.201365662E-1,1.480759427E1
1.082182917E-1,2.840343475E0,-1.451651276E1,2.986289978E-1,1.479479209E1
1.181902916E-1,2.849474487E0,-1.429332687E1,-4.572990417E-1,1.458176328E1
1.281632916E-1,2.738854523E0,-1.391117157E1,-1.134790192E0,1.422356381E1
1.381352916E-1,2.629132690E0,-1.341944412E1,-1.423988800E0,1.374851131E1
1.481082916E-1,2.384691010E0,-1.343007202E1,-1.171613617E0,1.369037122E1
1.580812916E-1,2.432441711E0,-1.359562775E1,-7.466473389E-1,1.383167917E1
1.680532916E-1,2.467319183E0,-1.337768097E1,1.614093475E0,1.369873388E1
1.780262917E-1,2.149530029E0,-1.132065857E1,5.023553467E-1,1.153386972E1
1.879980416E-1,2.063159637E0,-9.501192169E0,-5.867797852E-1,9.740307533E0
1.979710417E-1,1.841770020E0,-8.198151855E0,-1.029409332E0,8.465311230E0
2.079430416E-1,8.620573425E-1,-7.773634644E0,-5.240602112E-1,7.838825010E0
2.179160416E-1,3.908372498E-1,-7.769742737E0,3.083587646E-2,7.779627678E0
2.278890416E-1,1.225950623E-1,-7.579787750E0,6.586303711E-3,7.580781969E0
2.378610416E-1,9.729766846E-2,-6.937922516E0,-3.293151855E-2,6.938682883E0
2.478340416E-1,-6.212081909E-2,-5.984105988E0,3.302133179E-1,5.993531872E0
