"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.817125012E-3,5.343288574E0,-1.061278061E1,-2.373164978E0,1.211667269E1
1.178912492E-2,5.630690918E0,-1.233315308E1,-1.333876190E0,1.362316302E1
2.176212496E-2,4.994513855E0,-1.412058609E1,-8.113128662E-1,1.499981162E1
3.173512500E-2,3.852688293E0,-1.518382507E1,1.672023010E-1,1.566587717E1
4.170812492E-2,2.615511017E0,-1.535626648E1,-1.257385254E-2,1.557741879E1
5.168112495E-2,7.420069885E-1,-1.591011475E1,-7.262896729E-1,1.594395880E1
6.165412499E-2,2.019300842E-1,-1.578751968E1,-3.436853027E-1,1.579255119E1
7.162712491E-2,7.379653931E-1,-1.567240906E1,1.938468933E0,1.580906893E1
8.160012495E-2,1.681004333E-1,-1.544907349E1,1.587748260E0,1.553135776E1
9.157212498E-2,1.284329224E-1,-1.456815536E1,-5.983058167E-1,1.458100187E1
1.015451250E-1,7.194039917E-1,-1.364472565E1,2.637515259E-1,1.366622278E1
1.115181249E-1,1.296454010E0,-1.327409637E1,2.440524902E0,1.355870899E1
1.214911250E-1,1.219813385E0,-1.296858170E1,1.940414886E0,1.316955830E1
1.314641250E-1,5.881269836E-1,-1.321362213E1,2.275268555E-2,1.322672374E1
1.414371249E-1,-1.172062683E0,-1.344354401E1,-2.252066803E0,1.368116995E1
1.514101250E-1,-8.690927124E-1,-1.265857635E1,-1.895807648E0,1.282922305E1
1.613831250E-1,4.734654236E-1,-1.150268005E1,-3.480262756E-1,1.151767946E1
1.713551249E-1,9.976753235E-1,-9.983339539E0,9.503736877E-1,1.007797770E1
1.813281249E-1,1.357676697E0,-8.071664886E0,1.743424530E0,8.368667107E0
1.913011250E-1,1.052760773E0,-6.949598236E0,2.274969177E0,7.387875584E0
2.012741249E-1,6.165678406E-1,-5.581593018E0,2.206411743E0,6.033455834E0
2.112471249E-1,7.090754700E-1,-4.571194153E0,1.959575043E0,5.023797205E0
2.212201250E-1,1.244212646E0,-3.717818756E0,2.437231750E0,4.616312383E0
2.311931250E-1,2.348316650E0,-2.989433441E0,3.088377686E0,4.897895478E0
2.411661249E-1,2.567311249E0,-2.296075287E0,1.922901306E0,3.944692409E0
2.511381250E-1,3.201542358E0,-1.691781921E0,1.185684357E0,3.810229250E0
2.611111250E-1,2.956352234E0,-1.087937622E0,1.315763855E0,3.413921692E0
2.710841249E-1,2.845582581E0,-6.753955078E-1,9.910890198E-1,3.088002066E0
2.810571250E-1,2.688858490E0,-5.819897461E-1,4.806504822E-1,2.792793750E0
2.910301250E-1,2.920876007E0,-4.281097412E-1,-2.616558838E-1,2.963656256E0
3.010031249E-1,3.330424347E0,-6.399192810E-1,-1.311572571E0,3.636130584E0
3.109761250E-1,2.934347992E0,-1.517095184E0,-2.470762024E0,4.125123139E0
3.209491250E-1,2.014061737E0,-2.508333893E0,-3.841162262E0,5.010260584E0
3.309211250E-1,1.469494171E0,-3.880829773E0,-5.575156403E0,6.950008760E0
3.408941249E-1,1.249451752E0,-5.590424652E0,-7.171287231E0,9.178308015E0
3.508671250E-1,1.679058380E0,-7.564519501E0,-9.278904419E0,1.208880720E1
3.608401250E-1,2.294279022E0,-9.451345825E0,-1.238090378E1,1.574415550E1
3.708131249E-1,3.686833191E0,-1.152812714E1,-1.409992905E1,1.858220798E1
3.807861250E-1,3.562890930E0,-1.397029861E1,-1.377779892E1,1.994219592E1
3.907591250E-1,1.692979431E0,-1.596385300E1,-1.258897110E1,2.040080820E1
4.007311249E-1,-7.026388550E-1,-1.592508362E1,-1.100736008E1,1.937173109E1
4.107041250E-1,-2.730921021E0,-1.524953842E1,-8.607849884E0,1.772290697E1
4.206771250E-1,-2.192041626E0,-1.326571381E1,-7.949818268E0,1.561998143E1
4.306501249E-1,-5.858816528E-1,-9.628427582E0,-7.959398346E0,1.250607441E1
4.406231249E-1,4.125421143E-1,-6.362968140E0,-8.930129700E0,1.097291078E1
4.505961250E-1,1.041085052E0,-4.756359100E0,-1.024529480E1,1.134340670E1
4.605691249E-1,1.128652954E-1,-5.864504700E0,-8.217910767E0,1.009649500E1
4.705421249E-1,-5.224136353E-1,-8.811725922E0,5.465135193E-1,8.844100110E0
4.805141250E-1,5.502557373E0,-1.047506699E1,4.370162201E0,1.261362294E1
4.904871250E-1,9.734257507E0,-1.138502472E1,3.654051361E0,1.541838670E1
5.004601249E-1,9.514813843E0,-1.321811279E1,1.431024170E-1,1.628713193E1
5.104331250E-1,6.642886047E0,-1.637220383E1,-9.158105621E0,1.990095203E1
5.204061250E-1,5.176086273E0,-1.603854767E1,-1.454525299E0,1.691574782E1
5.303791249E-1,6.853348389E0,-9.247020721E0,6.474935303E0,1.320608055E1
5.403521250E-1,7.163653107E0,-4.045337677E0,2.679128723E0,8.652191252E0
5.503251250E-1,7.263645172E0,-3.151696014E0,-2.037712555E0,8.175940399E0
5.602971249E-1,5.467230835E0,-5.132676544E0,-2.022444305E0,7.766933917E0
5.702701249E-1,1.634002075E0,-9.210945740E0,8.306227112E-1,9.391561015E0
5.802431250E-1,-2.252815247E-1,-1.209125610E1,3.149899750E0,1.249684338E1
5.902161250E-1,5.014572144E-1,-1.202135147E1,3.559448090E0,1.254727147E1
6.001891249E-1,9.487271118E-1,-1.135778137E1,3.021017761E0,1.179092147E1
6.101621250E-1,-1.043330383E-1,-1.218421280E1,1.049168243E0,1.222974574E1
6.201351250E-1,-1.694176941E0,-1.248164429E1,-2.920277252E0,1.293018557E1
6.301071249E-1,-1.553319855E0,-1.131332382E1,-3.943549347E0,1.208121186E1
6.400801250E-1,3.966751099E-2,-9.829609222E0,-3.097508698E0,1.030618024E1
6.500531250E-1,7.967930603E-1,-8.822054443E0,-2.043999481E0,9.090734715E0
6.600261249E-1,1.605261841E0,-8.345595245E0,-1.793270874E0,8.685715054E0
6.699991249E-1,2.297422485E0,-8.246052246E0,-1.945653992E0,8.778445032E0
6.799721250E-1,2.011666718E0,-8.314909058E0,-7.692503357E-1,8.589310898E0
6.899451249E-1,1.522933044E0,-8.484656067E0,-9.710307312E-1,8.674768833E0
6.999181249E-1,1.473535767E0,-8.800199890E0,-8.268804932E-1,8.960946217E0
7.098901250E-1,1.534309387E0,-8.747210083E0,-5.507048035E-1,8.897812389E0
7.198631250E-1,1.117276611E0,-8.917555847E0,-7.370672607E-1,9.017448501E0
7.298361249E-1,2.665956116E-1,-9.391320648E0,-5.890251160E-1,9.413550198E0
7.398091250E-1,-3.854484558E-1,-9.809850311E0,-3.634442139E-1,9.824145018E0
7.497821250E-1,-1.194066925E0,-9.762249298E0,1.511856079E-1,9.836166137E0
7.597547499E-1,-1.996398468E0,-9.501491547E0,4.909790039E-1,9.721368671E0
7.697277500E-1,-2.325713654E0,-8.868008881E0,9.876461792E-1,9.220952797E0
7.796997500E-1,-2.002386017E0,-8.162226562E0,3.652404785E-1,8.412187161E0
7.896727499E-1,-1.150058441E0,-7.719597015E0,-7.467970276E-1,7.840441206E0
7.996457500E-1,-2.213896179E-1,-7.764653320E0,-1.555864563E0,7.922093731E0
8.096187500E-1,2.257305908E-1,-8.169561310E0,-1.557211761E0,8.319711219E0
8.195917499E-1,7.517367554E-1,-8.398135986E0,-1.419647827E0,8.550391579E0
8.295647500E-1,1.633403320E0,-8.307274933E0,-2.265089722E0,8.764100334E0
8.395377500E-1,2.273023224E0,-8.187973022E0,-2.701881409E0,8.916821179E0
8.495107499E-1,2.488574982E0,-8.220305786E0,-2.276316376E0,8.885271459E0
8.594827499E-1,2.092498627E0,-8.453520813E0,-1.614841919E0,8.857103311E0
8.694557500E-1,1.813478851E0,-8.839118958E0,-1.013542328E0,9.079977838E0
8.794287499E-1,1.410965881E0,-8.905580750E0,-5.682183838E-1,9.034548430E0
8.894017499E-1,1.321002960E0,-8.903634796E0,-3.628454590E-1,9.008408196E0
8.993747500E-1,1.570683746E0,-8.898096313E0,-4.478686523E-1,9.046753659E0
9.093477500E-1,2.014211426E0,-8.170160065E0,-6.929090881E-1,8.443262767E0
9.193207499E-1,2.533032532E0,-7.403753815E0,-1.522483978E0,7.971811702E0
9.292927500E-1,2.473306732E0,-6.882088623E0,-3.235671387E0,7.996871847E0
9.392657500E-1,1.436113586E0,-7.215894470E0,-4.428091736E0,8.587173671E0
9.492387499E-1,-4.959187317E-1,-8.631650391E0,-2.383493500E0,8.968409286E0
9.592117500E-1,-2.568508759E0,-1.014111145E1,1.031355286E-1,1.046183615E1
9.691847500E-1,-4.144431610E0,-1.090167984E1,3.703298950E-1,1.166876518E1
9.791577499E-1,-5.093009033E0,-1.125359802E1,-5.754034424E-1,1.236581168E1
9.891307499E-1,-5.199737091E0,-1.122860001E1,-1.689835968E0,1.248896591E1
9.991037500E-1,-4.435127106E0,-1.089224945E1,-2.625091095E0,1.205000223E1
1.009075750E0,-2.971321106E0,-1.033241364E1,-3.293301544E0,1.124425879E1
1.019048750E0,-1.227148132E0,-9.883048096E0,-3.027753754E0,1.040902613E1
1.029021750E0,-1.155596924E-1,-9.453890533E0,-1.965562592E0,9.656750828E0
1.038994750E0,6.044430542E-1,-8.654403076E0,-1.597777405E0,8.821390857E0
1.048967750E0,1.149609375E0,-7.879614258E0,-2.448907471E0,8.331090587E0
1.058940750E0,9.506730652E-1,-7.516918488E0,-2.934347992E0,8.125160981E0
1.068913750E0,6.968009949E-1,-7.339836731E0,-9.517208862E-1,7.434010190E0
1.078885750E0,2.403551788E0,-8.934770050E0,-4.129911804E-1,9.261627220E0
1.088858750E0,1.873204651E0,-1.346030914E1,3.644920349E-1,1.359491347E1
1.098831750E0,-2.176174622E0,-1.926643524E1,1.951342163E0,1.948689301E1
1.108804750E0,-7.977959747E0,-2.386846527E1,5.415438538E0,2.574254165E1
1.118777750E0,-8.091274109E0,-2.411380508E1,5.695057068E0,2.606488034E1
1.128750750E0,-2.784060516E0,-2.145563278E1,3.639232178E0,2.193944352E1
1.138723750E0,1.712139587E0,-2.117960678E1,1.007405090E0,2.127256520E1
1.148696750E0,4.653972015E0,-2.153451874E1,-1.247206421E0,2.206695440E1
1.158668750E0,6.758445740E0,-2.026979874E1,-2.935395813E0,2.156751906E1
1.168641750E0,6.995253296E0,-1.902378983E1,-4.780458984E0,2.082524756E1
1.178614750E0,8.440048828E0,-1.979768051E1,-4.812492371E0,2.205317802E1
1.188587750E0,1.102906494E1,-2.009481262E1,-5.787265320E0,2.364178943E1
1.198560750E0,1.072519684E1,-1.810425201E1,-5.626200256E0,2.178182540E1
1.208533750E0,7.431296539E0,-1.404813675E1,-9.752220154E-1,1.592248009E1
1.218506750E0,2.714155884E0,-9.874066772E0,4.152365112E0,1.105015714E1
1.228478750E0,-5.149291992E-1,-8.775201874E0,1.478774872E0,8.913814847E0
1.238451750E0,-3.209326172E0,-8.507558441E0,-2.016307068E0,9.313636202E0
1.248424750E0,-4.055217133E0,-8.913514252E0,-4.701273651E0,1.086266525E1
1.258397750E0,-3.405867462E0,-8.694968719E0,-3.009791107E0,9.811282114E0
1.268370750E0,-2.080673218E0,-7.880811768E0,5.504054260E-1,8.169414991E0
1.278343750E0,-7.674540710E-1,-6.017486572E0,2.070195007E0,6.409745531E0
1.288316750E0,-1.586700439E-2,-4.306544495E0,3.328777771E0,5.443100100E0
1.298289750E0,1.090182953E0,-2.517315216E0,3.314557343E0,4.302518465E0
1.308261750E0,1.167721710E0,-2.007924500E0,3.841611328E0,4.489244077E0
1.318234750E0,2.119592285E-1,-2.724484406E0,4.541705475E0,5.300455698E0
1.328207750E0,3.475772095E-1,-3.479514313E0,4.551734619E0,5.739870888E0
1.338180750E0,1.385069733E0,-2.547552338E0,4.114194489E0,5.033392233E0
1.348153750E0,2.151026917E0,-2.144290924E0,3.382965088E0,4.546356030E0
1.358126750E0,3.304378510E0,-1.710343323E0,3.028502197E0,4.797501139E0
1.368099750E0,4.832251282E0,-5.131329346E-1,2.509830780E0,5.469296884E0
1.378071750E0,5.084776154E0,9.415420532E-1,1.637295227E0,5.424222122E0
1.388044750E0,4.409081268E0,1.516346741E0,2.912942505E-1,4.671633270E0
1.398017750E0,3.217259674E0,9.521699524E-1,-1.038690033E0,3.512301868E0
1.407990750E0,1.687890015E0,-2.378553772E-1,-2.085463257E0,2.693455936E0
1.417963750E0,4.956193542E-1,-1.443747711E0,-3.114872589E0,3.468786134E0
1.427936750E0,-2.559677124E-1,-2.530787201E0,-4.725373535E0,5.366522000E0
1.437909750E0,5.254074097E-1,-4.237537994E0,-7.792495422E0,8.885705718E0
1.447881750E0,2.631527710E0,-7.033573608E0,-1.347632584E1,1.542749020E1
1.457854750E0,4.036805420E0,-1.113594269E1,-1.719938370E1,2.088357769E1
1.467827750E0,5.017865295E0,-1.500539612E1,-1.586401062E1,2.240552873E1
1.477800750E0,5.078339539E0,-1.747466125E1,-1.237012619E1,2.200393920E1
1.487773750E0,3.343447266E0,-1.755504410E1,-9.162446594E0,2.008254567E1
